Event Category,Page Title,Total Events,Unique Events,Event Value,Avg. Value
Download,Major Projects Location [Iowa] - Big Ten Academic Alliance Geoportal,1,1,0,0.00
Download,"Map of Gambia - Bathurst (Banjul) (city map), 1919 - Big Ten Academic Alliance Geoportal",1,1,0,0.00
Download,"Map of Germany - Geological Map - Podejuch (Podjuchy), 1921 - Big Ten Academic Alliance Geoportal",1,1,0,0.00
Download,"Map of Italy - Scoglitti, 1943 - Big Ten Academic Alliance Geoportal",1,1,0,0.00
Download,"Map of Lithuania - Map of Lithuania, 1914? - Big Ten Academic Alliance Geoportal",1,1,0,0.00
Download,"Map of Marion County, Indiana showing highways & roads - Big Ten Academic Alliance Geoportal",1,1,0,0.00
Download,"Map of Mozambique - City Map - Beira, 1922 - Big Ten Academic Alliance Geoportal",1,1,0,0.00
Download,"Map of Panama - Chorrera Quadrangle, 1922 - Big Ten Academic Alliance Geoportal",1,1,0,0.00
Download,"Map of Portugal - São Bartolomeu De Messines area, 1922 - Big Ten Academic Alliance Geoportal",1,1,0,0.00
Download,"Map of Romania - Szinyér-Váralja und Kraszna-Béltek (Seini and Beltiug), 1912 - Big Ten Academic Alliance Geoportal",1,1,0,0.00
Download,"Map of Switzerland - Engelberg und Umgebung (Engelberg and Environs), 1909 - Big Ten Academic Alliance Geoportal",1,1,0,0.00
Download,Map of the city of Gary and vicinity - Big Ten Academic Alliance Geoportal,1,1,0,0.00
Download,Map of the main Trenton Rock oil field of Indiana - Big Ten Academic Alliance Geoportal,1,1,0,0.00
Download,"Municipalities WGS84 - Tiled: Cuyahoga County, Ohio - Big Ten Academic Alliance Geoportal",1,1,0,0.00
Download,"N-34-20-Г Вайнутас (Vainutas, Lithuania) - Big Ten Academic Alliance Geoportal",1,1,0,0.00
Download,"N-34-20-Г-в м. Войнуты (Vainutas, Lithuania) - Big Ten Academic Alliance Geoportal",1,1,0,0.00
Download,"N-34-36-Г-в Мунишканцы (Muniškiai, Lithuania) - Big Ten Academic Alliance Geoportal",1,1,0,0.00
Download,"N-34-47-В Пильвишки (Pilviškiai, Lithuania) - Big Ten Academic Alliance Geoportal",1,1,0,0.00
Download,"N-35-1-Г Поневеж (Panevėžys, Lithuania) - Big Ten Academic Alliance Geoportal",1,1,0,0.00
Download,"N-36-47 Юхнов (Yukhnov, Russia) - Big Ten Academic Alliance Geoportal",1,1,0,0.00
Download,"NAIP Aerial Mosaic (UTM) Adams County, Wisconsin 2020 - Big Ten Academic Alliance Geoportal",1,1,0,0.00
Download,"National Flood Hazard Layer: Elk County, Pennsylvania - Big Ten Academic Alliance Geoportal",1,1,0,0.00
Download,"Neighborhood Police Officers: Detroit, Michigan - Big Ten Academic Alliance Geoportal",1,1,0,0.00
Download,New Truck Parking Availability Rank [Iowa] - Big Ten Academic Alliance Geoportal,1,1,0,0.00
Download,Nordostrundingen: Greenland - Big Ten Academic Alliance Geoportal,1,1,0,0.00
