label,solr_schema_name,field_definition,placeholder_text,data_entry_hint,test_fixture_example,field_type,required,repeatable,controlled_vocabulary,js_behaviors,html_attributes,display_only_on_persisted,import_deliminated,import_transformation_method,export_transformation_method,index_transformation_method,validation_method
Temporal Coverage,dct_temporal_sm,https://opengeometadata.org/docs/ogm-aardvark/temporal-coverage,,,2019|2020,string,FALSE,TRUE,,,,FALSE,TRUE,,,,
Date Issued,dct_issued_s,https://opengeometadata.org/docs/ogm-aardvark/date-issued,,YYYY,1/1/20,string,FALSE,FALSE,,datepicker-years,,FALSE,FALSE,,,,
Date Range,gbl_dateRange_drsim,https://opengeometadata.org/docs/ogm-aardvark/date-range,YYYY-YYYY,,2020-2020,string,FALSE,TRUE,,mask,"""data-inputmask-regex"" => ""'mask': '/\d{4}|\*-\d{4}|\*/'""",FALSE,TRUE,,date_range_json,date_range_json,Document::DateRangeValidator
Spatial Coverage,dct_spatial_sm,https://opengeometadata.org/docs/ogm-aardvark/spatial-coverage,,,spatial-coverage1|spatial-coverage2,string,FALSE,TRUE,,,,FALSE,TRUE,,,,
Bounding Box,dcat_bbox,https://opengeometadata.org/docs/ogm-aardvark/bounding-box,,"W,S,E,N - A centroid will be derived from this value.","-95.0379,40.6333,-91.198,43.1373",string,FALSE,FALSE,,,,FALSE,FALSE,,derive_dcat_bbox,derive_dcat_bbox,Document::BboxValidator
Geometry,locn_geometry,https://opengeometadata.org/docs/ogm-aardvark/geometry,,WKT - A POLYGON or MULTIPOLYGON value.,"POLYGON((-88.11 41.75, -84.75 41.75, -84.75 37.86, -88.11 37.86, -88.11 41.75))",string,FALSE,FALSE,,,,FALSE,FALSE,,derive_locn_geometry,derive_locn_geometry,Document::GeomValidator
Centroid,dcat_centroid,https://opengeometadata.org/docs/ogm-aardvark/centroid,,,"39.805,-86.43",string,FALSE,FALSE,,,,FALSE,FALSE,,derive_dcat_centroid,derive_dcat_centroid,
GeoNames,b1g_geonames_sm,https://geobtaa.github.io/metadata/b1g-custom-elements.html#geonames,,,geonames1|geonames2,string,FALSE,TRUE,,,,FALSE,TRUE,,,,
Relation,dct_relation_sm,https://opengeometadata.org/docs/ogm-aardvark/relation,,,relation1|relation2,string,FALSE,TRUE,,,,FALSE,TRUE,,,,
Member Of,pcdm_memberOf_sm,https://opengeometadata.org/docs/ogm-aardvark/member-of,,,member-of1|member-of2,string,FALSE,TRUE,,,,FALSE,TRUE,,,,
Is Part Of,dct_isPartOf_sm,https://opengeometadata.org/docs/ogm-aardvark/is-part-of,,,is-part-of1|is-part-of2,string,FALSE,TRUE,,,,FALSE,TRUE,,,,
Source,dct_source_sm,https://opengeometadata.org/docs/ogm-aardvark/source,,,source1|source2,string,FALSE,TRUE,,,,FALSE,TRUE,,,,
Version,dct_isVersionOf_sm,https://opengeometadata.org/docs/ogm-aardvark/is-version-of,,,version1|version2,string,FALSE,TRUE,,,,FALSE,TRUE,,,,
Replaces,dct_replaces_sm,https://opengeometadata.org/docs/ogm-aardvark/replaces,,,replaces1|replaces2,string,FALSE,TRUE,,,,FALSE,TRUE,,,,
